Name,Inventors,Assignee,Patent title,URLs,Item type,Topic area,Molecules,Keywords (GFI),Technology sector,Common Name,Abstract,Keywords,Resource,Species,Notes (public),Publication year,Date published,Issuing authority,Patent number,Date filed,Type of patent,Issuing office full name,Application number,Created,Last Modified
Genovese_2018,"Genovese NJ,Firpo MT,Dambournet D","Memphis Meats, Inc.",Compositions and methods for increasing the culture density of a cellular biomass within a cultivation infrastructure,https://patentimages.storage.googleapis.com/ae/46/f9/4b0f92532c1dab/WO2018208628A1.pdf; https://patents.google.com/patent/WO2018208628A1/en,Patent,"Cultivated,Meat",,,,,"Provided herein are methods to increase the culture density and/or thickness of a cellular biomass in a cultivation infrastructure, to improve the culture of cells in the absence of serum in a cultivation infrastructure, and to promote anchorage-independent growth of a cellular biomass in a cultivation infrastructure. The methods comprise inhibiting the HIPPO signaling pathway, for example, by activating YAP1, activating TAZ, and/or inhibiting MOB1, LATS1 kinase, LATS2 kinase, WW45, MST1 kinase, and/or MST2 kinase in the cellular biomass. In some embodiments, the cellular biomass is harvested from the cultivation infrastructure for the formulation of cell-based food products or ingredients, such as animal meat manufactured from cells in an ex vivo process or for therapeutic applications such as organ or tissue transplantation or grafting.",,Cultivated Meat Library,,,2018,2018-11-15,WIPO,2018208628:A1,2018-05-05,World Patent,World Intellectual Property Organization,PC:T/US2018/031276,2021-07-23,2021-11-02
Ho_2018,"Ho CM,Zhao Y,Liao JC",University of California,Fatty acid production in cell-free systems,https://patentimages.storage.googleapis.com/e5/b2/6f/225150c9980d31/US10155968.pdf; https://patents.google.com/patent/US10155968,Patent,,Fat or fatty acid,Algae,,,"The present invention is directed to methods, compositions, and systems for the production of fatty acids (FAs). Specifically, the disclosed methods, compositions, and systems incorporate algal cell lysates, providing a cell-free environment that generates high levels of FAs for extended periods of time with the addition of liquid media and a carbon source.",,Cultivated Meat Library,,,2018,2018-12-18,USPTO,10155968,2014-07-29,US Patent,United States Patent and Trademark Office,US:14/909016,2021-11-12,2021-11-23
Nahmias_2018,Nahmias Y,Yissum Research Development Company Of The Hebrew University Of Jerusalem Ltd.,Systems and methods for growing cells in vitro,https://patentimages.storage.googleapis.com/ac/b7/dc/a93500908f9390/WO2018011805A9.pdf; https://patents.google.com/patent/WO2018011805A9/en,Patent,"Cultivated,Meat",,,Bioprocess design,,"A system for growing cells comprising a bioreactor chamber for growing the cells, a delivery system delivering a perfusion solution to the bioreactor chamber for perfusion of the perfusion solution through the cells, a dialysis system having a dialyzer, a dialysate for performing a dialysis and a filter for reducing ammonia content in said dialysate, and a controller that circulates the perfusion solution through the dialyzer and the dialysate through the filter.",,Cultivated Meat Library,,,2018,2018-05-24,WIPO,2018011805:A9,2017-07-11,World Patent,World Intellectual Property Organization,PC:T/IL2017/050790,2021-07-23,2021-11-02
Savir_2018,"Savir I,Friedman S,Barak K",Supermeat The Essence Of Meat Ltd.,Cultured meat-containing hybrid food,https://patentimages.storage.googleapis.com/2f/04/15/95c5c8defdca43/WO2018189738A1.pdf; https://patents.google.com/patent/WO2018189738A1/en,Patent,"Cultivated,Plant-based,Meat",,,,,"A method of producing a hybrid foodstuff is provided. The method comprises combining a plant-originated substance with an amount of cultured animal cells so as to enhance a meat organoleptic and/or meat nutritional property in the hybrid foodstuff, wherein the animal cells do not form a tissue, and wherein the amount is below 30 % (w/w) of the hybrid foodstuff.",,Cultivated Meat Library,,,2018,2018-10-18,WIPO,2018189738:A1,2018-04-04,World Patent,World Intellectual Property Organization,PC:T/IL2018/050398,2021-07-23,2021-11-02
Vallier_2018,"Vallier L,Kotter M,Pawlowski M,Bertero A,Ortmann D",Cambridge Enterprise Limited,Controllable transcription,https://patentimages.storage.googleapis.com/69/09/82/d0ab904e7deb91/WO2018096343A1.pdf; https://patents.google.com/patent/WO2018096343A1/en,Patent,,,,Cell line development,,"The present invention relates to a stable method for introducing at least one inducible cassette into a cell, and permitting controllable transcription from within that inducible cassette. The method may be used for any cell type, from any eukaryotic organism, but has a particular application in the introduction of inducible cassettes into pluripotent stem cells, such as animal or human pluripotent stem cells (hPSCs). The inducible cassette is controllably inserted in such a way to ensure that the genetic material it contains is not silenced or subject to negative influences from the insertion site, and transcription of the genetic material is controlled.",,Cultivated Meat Library,,,2018,2018-05-31,WIPO,2018096343:A1,2017-11-24,World Patent,World Intellectual Property Organization,PC:T/GB2017/053531,2021-07-23,2021-11-02
羽生 雄毅_2018,"羽生 雄毅,川島 一公",インテグリカルチャー株式会社,"Growth guidance system, growth induction controller, growth guidance control method, and the growth induction control program",https://patentimages.storage.googleapis.com/d7/5f/9e/5e304e4a3511e7/JPWO2017191691A1.pdf; https://patents.google.com/patent/JPWO2017191691A1/en,Patent,,,,,,"To induce growth suppressing the cost for each growth stage addition of cytokines, second perfused first culture tank for perfusion of the culture solution in growth induction subject-derived biological, the culture solution secretion body to secrete cytokines fermentor, and the growth induction control device and a control unit and the detection unit and the storage unit, in the growth induction system having a, stores the growth induction protocol that defines the growth induction procedure, the control unit, the detection unit detecting the growth conditions of growth induced subject via, on the basis of the growth induction protocol in response to the growth conditions of the growth-induced target, controls the flow rate supplied to the culture fluid containing secreted body secreted cytokine growth inducing target to. .FIELD 1",,"Cultivated Meat Library,Deep dive: Cultivated meat cell culture media part B",,,2018,2018-05-31,,JP:WO2017191691:A1,2016-06-13,Patent,,JP:2016067599A,2021-07-23,2021-07-30
Ben-Arye_2019a,"Ben-Arye T,Levenberg S",Technion Research & Development Foundation Limited,Cultured meat compositions,https://patentimages.storage.googleapis.com/d3/e2/38/7cc42aa5f271b5/WO2019016795A1.pdf; https://patents.google.com/patent/WO2019016795A1/en,Patent,"Cultivated,Meat",,"Satellite cell or myoblast,Vascular cell",Scaffolding,Cow,"The invention is directed to a method for producing an edible composition, comprising incubating a three-dimensional porous scaffold and a plurality of cell types comprising: myoblasts or progenitor cells thereof, at least one type of extracellular (ECM)-secreting cell and endothelial cells or progenitor cells thereof, and inducing myoblasts differentiation into myotubes.",,Cultivated Meat Library,Bos taurus,,2019,2019-01-24,WIPO,2019016795:A1,2018-07-15,World Patent,World Intellectual Property Organization,PC:T/IL2018/050776,2021-07-23,2023-02-10
Breemhaar_2019,"Breemhaar JJ,Post M",Mosa Meat BV,Apparatus and process for production of tissue from cells,https://patentimages.storage.googleapis.com/c7/77/25/4ee847c663a877/US20190338232A1.pdf; https://patents.google.com/patent/US20190338232A1/en,Patent,,,,,,"Disclosed is an apparatus for the production of tissue from cells. The apparatus comprises an elongate body having at least one circumferential groove and being operable to extend, by close-fitting relationship, centrally through at least one trough. The troughs are extending in a closed path, such that the at least one of the circumferential grooves open into an inner edge of a trough. Also disclosed is a process for production of tissue from cells, via a transitioning intermediate which transitions from the cells into the tissue.",,"Cultivated Meat Library,Deep dive: Cultivated meat scaffolding part A",,,2019,2019-11-07,USPTO,20190338232:A1,2018-06-13,US Patent,United States Patent and Trademark Office,US:16/007943,2021-07-23,2021-07-30
Forgacs_2019,"Forgacs G,Gupta N","Fork & Goode, Inc",LARGE SCALE CELL CULTURE SYSTEM FOR MAKING MEAT AND ASSOCIATED PRODUCTS,http://www.freepatentsonline.com/y2019/0376026.html,Patent,"Cultivated,Meat",,,,,Provided is a large-scale cell culture system for producing products without harming animals. Also provided is a method for making meat products using this cell culture system. Further provided is a m,,"Cultivated Meat Library,Deep dive: Cultivated meat cell culture media part B",,,2019,2019-12-12,USPTO,20190376026,2018-08-24,US Patent,United States Patent and Trademark Office,16/112171,2021-07-23,2021-11-23
Genovese_2019,"Genovese NJ,Schulze EN,Desmet DN","Memphis Meats, Inc.",Compositions and methods for increasing the efficiency of cell cultures used for food production,https://patentimages.storage.googleapis.com/cd/16/a8/9323d5188e5ce5/WO2019014652A1.pdf; https://patents.google.com/patent/WO2019014652A1/en,Patent,"Cultivated,Meat",,,Cell line development,,"Provided herein are compositions and methods to make and use engineered cells, for the purpose of increasing the cell density of a culture comprising metazoan cells and for the production of a cultured edible product.",,"Cultivated Meat Library,Deep dive: Cultivated meat bioprocess design",,,2019,2019-01-17,WIPO,2019014652:A1,2018-07-13,World Patent,World Intellectual Property Organization,PC:T/US2018/042187,2021-07-23,2021-11-23
Bayer_2020,"Bayer E,McIntyre G,Mueller P,O'Brien M,Schaak D,Winiski J,Carlton A",Ecovative Design LLC,Methods of Generating Mycelial Scaffolds and Applications Thereof,https://patentimages.storage.googleapis.com/a3/55/f7/bf17904e89a533/US20200157506A1.pdf; https://patents.google.com/patent/US20200157506A1/en,Patent,"Cultivated,Meat",,,Scaffolding,,"Several methods are described for generating mycelial scaffolds for use several technologies. In one embodiment, a mycelial scaffold is generated using a perfusion bioreactor system for cell-based meat technologies. In another embodiment, a mycelial scaffold is prepared for biomedical applications. The mycelial scaffolds may be generated from a liquid medium or from a solid substrate.",,"Cultivated Meat Library,Deep dive: Cultivated meat scaffolding part A",,,2020,2020-05-21,USPTO,20200157506:A1,2019-11-19,US Patent,United States Patent and Trademark Office,US:16/688699,2021-07-23,2023-01-30
Elfenbein_2020a,"Elfenbein A,Kolbeck JL","WILD TYPE, INC.",EX VIVO MEAT PRODUCTION,http://www.freepatentsonline.com/y2020/0140821.html; https://patents.google.com/patent/WO2018227016A1/en,Patent,"Cultivated,Seafood,Meat",,,,,"Systems and methods for producing cell cultured food products. The cultured food products include sushi-grade fish meat, fish surimi, foie gras, and other food types. Various cell types are utilized to produce the food products and can include muscle, fat, and/or liver cells. The cultured food products are grown in pathogen-free culture conditions without exposure to toxins and other undesirable chemicals.",,Cultivated Meat Library,,,2020,2020-05-07,USPTO,20200140821,2018-06-07,US Patent,United States Patent and Trademark Office,16/620326,2021-07-23,2022-08-26
Johnson_2020,"Johnson JK,Ohst D","NANOFIBER SOLUTIONS, LLC",ELECTROSPUN POLYMER FIBERS FOR CULTURED MEAT PRODUCTION,http://www.freepatentsonline.com/y2020/0245658.html,Patent,"Cultivated,Meat",,,Scaffolding,,"A cultured meat product may comprise a scaffold comprising an electro spun polymer fiber, and a population of cells. The cultured meat product may have a thickness from about 100 μm to about 500 mm. A",,Cultivated Meat Library,,,2020,2020-08-06,USPTO,20200245658,2020-02-03,US Patent,United States Patent and Trademark Office,16/780187,2021-07-23,2021-11-12
Nahmias_2020,Nahmias Y,Yissum Research Development Company of Hebrew University of Jerusalem,Systems and methods for growing cells in vitro,https://patents.google.com/patent/US20200080050A1/en,Patent,"Cultivated,Meat",,,Bioprocess design,,"A system for growing cells comprising a bioreactor chamber for growing the cells , a delivery system delivering a perfu sion solution to the bioreactor chamber for perfusion of the perfusion solution through the cells , a dialysis system having a dialyzer , a dialysate for performing a dialysis and a filter for reducing ammonia content in said dialysate , and a controller that circulates the perfusion solution through the dialyzer and the dialysate through the filter .",,Cultivated Meat Library,,,2020,2020,,"16/316,667",2016,Patent,,,2021-11-12,2021-11-23
Maiorella_2021,Maiorella BL,,"Structured ""meat"" processes and products from cells grown in suspension culture",https://techtransfer.universityofcalifornia.edu/ncd/32201.html,Patent,"Cultivated,Meat",,,,,,,Cultivated Meat Library,,,2021,,,,,Patent,,,2021-07-23,2021-11-01
Sriram_2020,"Sriram S,Ling KY",Shiok Meats Pte. Ltd.,Isolation and cultivation of muscle and fat cells from crustaceans,https://patentimages.storage.googleapis.com/32/00/de/4bfc77aeefefcf/WO2020149791A1.pdf; https://patents.google.com/patent/WO2020149791A1/en,Patent,"Cultivated,Seafood",,,,,"The present disclosure is directed to methods for the formation and production of renewable muscle and/or fat primary cell lines, immortalized cell lines, and stem cell lines from shrimp, prawn, crab, crayfish, and/or lobster species and the cell lines themselves as well as human and animal consumable meat products produced therefrom.",,Cultivated Meat Library,,,2020,2020-07-23,WIPO,2020149791:A1,2020-01-13,World Patent,World Intellectual Property Organization,PC:T/SG2020/050016,2022-01-06,2023-02-02
Tsuruwaka_2015,"Tsuruwaka Y,Ogawa T,Hatada Y",Japan Agency for Marine Earth Science and Technology,Cell line derived from thread-sail filefish (stephanolepis cirrhifer),https://patentimages.storage.googleapis.com/72/20/52/7a46fe23a8ce29/US20150175958A1.pdf; https://patents.google.com/patent/US20150175958A1/en,Patent,,,,Cell line development,,"The first object of the present invention is to provide an immortalized cell line derived from a thread-sail filefish. The first object of the present invention can be solved by a cell line or a passage strain thereof derived from a living body part of a fish of the family Monacanthidae, wherein the cell line or the passage strain thereof is capable of being subcultured substantially without limitations. The second object of the present invention is to provide a pluripotent stem cell derived from a thread-sail filefish. The second object of the present invention can be solved by a cell line or a passage strain thereof derived from a living body part of a fish of the family Monacanthidae, wherein the cell line or the passage strain thereof is positive for at least a cell marker selected from a group consisting of TRA-1-60, OCT4 and SSEA-3.",,"Cultivated Meat Library,PISCES/ATLAS",,,2015,2015-06-25,USPTO,20150175958:A1,2013-07-30,US Patent,United States Patent and Trademark Office,US:14/418781,2022-04-27,2022-04-27
Arin_2021,"Arin D,Spaans S",Mosa Meat B.V.,Hydrogels for cultured meat production,https://patentimages.storage.googleapis.com/f9/dc/7c/bd4001db37d2a1/WO2021158105A1.pdf; https://patents.google.com/patent/WO2021158105A1/en?oq=WO2021158105A1,Patent,"Meat,Cultivated",,,,,"The invention is directed to a modified polysaccharide hydrogel, comprising a low molecular weight alginate with a specific M/G ratio. The modified polysaccharide is modified with a specific peptide, preferably comprising a cell-adhesion peptide. The modified polysaccharide hydrogel may be used as a hydrogel for the growth of cultured meat preferably as a sacrificial biopolymer.",,Cultivated Meat Library,,,2021,8/12/21,WIPO,2021158105:A1,2/3/21,World Patent,World Intellectual Property Organization,PC:T/NL2021/050068,2022-08-26,2023-02-02
Nahmias_2021,"Nahmias Y,Wissotsky G",Yissum Research Development Company Of The Hebrew University Of Jerusalem Ltd.,Methods and devices for filtering cell culture media,https://patentimages.storage.googleapis.com/1b/88/13/b0a3c72861d82b/WO2021152536A1.pdf; https://patents.google.com/patent/WO2021152536A1/en,Patent,"Meat,Cultivated",,,,,"The present disclosure provides, in part, a receptacle for filtering a liquid. The receptacle comprises a plurality of hollow fibers extending the length of the receptacle and at least one solid absorbent material occupying a space between the plurality of hollow fibers. Each hollow fiber comprises at least one opening and a lumen defined by the walls thereof, allowing the liquid to flow through. The hollow fiber walls have a porosity profile selective to passage of waste materials contained in the liquid from the lumen to the solid absorbent material(s), thereby filtering the liquid. Also provided is a system as well as a method for filtering and recycling a cell culture medium.",,Cultivated Meat Library,,,2021,8/5/21,WIPO,2021152536:A1,1/29/21,World Patent,World Intellectual Property Organization,PC:T/IB2021/050728,2022-08-26,2023-02-02
Tandikul_2022,"Tandikul N,Genovese NJ",Upside Foods Inc,Systems and methods for cultivating tissue on porous substrates,https://patentimages.storage.googleapis.com/e3/64/2f/8fa158055ee5e0/US20220195358A1.pdf; https://patents.google.com/patent/US20220195358A1/en?oq=US20220195358,Patent,"Meat,Cultivated",,,,,"Described herein are novel systems and methods for biomanufacturing, such as tissue cultivation. In some variations the systems and methods may comprise at least one porous substrate.",,Cultivated Meat Library,,,2022,6/23/22,USPTO,20220195358:A1,12/22/20,US Patent,United States Patent and Trademark Office,US:17/131483,2022-08-26,2023-02-02
Genovese_2022,Genovese NJ,Upside Foods Inc,Fluid conduit with radial expansion of fluid flow,https://patentimages.storage.googleapis.com/cb/f8/b2/ca5f7ab760d792/US20220195368A1.pdf; https://patents.google.com/patent/US20220195368A1/en?oq=US20220195368,Patent,"Meat,Cultivated",,,,,"Disclosed herein are systems, devices, and methods for flowing fluid for radially expanded particle distribution within a laminar flow. In some variations, a system for cultivating tissue may comprise a bioreactor comprising an inlet, a substrate arranged in the bioreactor, and a diffusion module configured to transfer fluid from the inlet to the substrate. The diffusion module may comprise a porous material having at least one tortuous conduit extending between a first surface of the porous material and a second surface of the porous material.",,Cultivated Meat Library,,,2022,6/23/22,USPTO,20220195368:A1,12/21/20,US Patent,United States Patent and Trademark Office,US:17/129662,2022-08-26,2023-02-02
Cruz_2022,"Cruz H,Flack JE,Furquim C,Klevernic I,Melzener L,Messmer T,Van Essen A",Mosa Meat B.V.,Serum-free medium for differentiation of a progenitor cell,https://patentimages.storage.googleapis.com/f6/5f/ab/e1d062ab7b969b/WO2022114955A1.pdf; https://patents.google.com/patent/WO2022114955A1/en?oq=WO2022114955A1,Patent,"Meat,Cultivated",,,,,"The invention relates inter alia to a method for differentiating a muscle progenitor cell, comprising the step of: - culturing a muscle progenitor cell in a serum-free medium for differentiating a muscle progenitor cell, wherein said serum-free medium comprises - at least one differentiation inducer selected from the group consisting of a lysophosphatidic acid receptor 1 (LPAR1) agonist, a lysophosphatidic acid receptor 3 (LPAR3) agonist, an oxytocin receptor (OXTR) agonist, a glucagon receptor (GCGR) agonist, a lactate and a Notch signaling pathway inhibitor.",,Cultivated Meat Library,,,2022,6/2/22,WIPO,2022114955:A1,11/25/21,World Patent,World Intellectual Property Organization,PC:T/NL2021/050718,2022-08-26,2023-02-02
Juarez_2022,Juarez MV,Biotech Foods SL,Bioreactor and method for the production of adherent cell cultures employing said bioreactor,https://patentimages.storage.googleapis.com/6f/34/9f/b859709ddc3c03/US20220177823A1.pdf; https://patents.google.com/patent/US20220177823A1/en?oq=US20220177823A1,Patent,"Meat,Cultivated",,,,,"Bioreactor and production process of adherent cell cultures that uses the bioreactor. The bioreactor includes a recipient with a cover, and further includes internally a bracket from which protrudes at least one tray that supports a three-dimensional polymer-based element mounted on it, such that when the bioreactor is filled with a culture medium the at least one tray and the three-dimensional polymer-based element are surrounded by the culture medium.The process includes the following steps:the bracket, with the at least one tray of the bioreactor, with a three-dimensional polymer-based element is immersed in the culture medium,cells that are desired to be planted on the three-dimensional polymer-based element are inoculated from outside the bioreactor, andthe culture is left in the bioreactor so that the cellular proliferation is produced.",,Cultivated Meat Library,,,2022,6/9/22,USPTO,20220177823:A1,1/4/19,US Patent,United States Patent and Trademark Office,US:17/420274,2022-08-26,2023-02-02
Lavon_2022c,"Lavon N,Levanon SS,Nadav TAL",Aleph Farms Ltd.,A multi-scaffold system for large scale cultivation of cells,https://patentimages.storage.googleapis.com/af/99/6f/c1f5e2180392ed/WO2022097139A1.pdf; https://patents.google.com/patent/WO2022097139A1/en?oq=WO2022097139A1,Patent,"Meat,Cultivated",,,,,"The present invention is in the field of large-scale production of cultured cells, providing systems comprising a plurality of scaffolds arranged optionally in a multi-layer configuration and methods of use thereof for production of cells and/or tissue cultures for a variety of uses, including the production of cultured food products, particularly cultured meat.",,Cultivated Meat Library,,,2022,5/12/22,WIPO,2022097139:A1,11/3/21,World Patent,World Intellectual Property Organization,PC:T/IL2021/051302,2022-08-26,2023-02-02
Weissenbach_2022a,"Weissenbach JL,Sylvia R,von der Brelie A,Brandl M,Fesenfeld M",Merck Patent Gmbh,Process system for bioreactor-based clean meat production,https://patentimages.storage.googleapis.com/c6/0c/6c/cd771907717afc/WO2022038241A1.pdf; https://patents.google.com/patent/WO2022038241A1/en?oq=WO2022038241A1,Patent,"Meat,Cultivated",,,,,The present invention is for a closed environment process for the growth and differentiation of cells and the culturing of cells to confluency for the production of tissue. The tissue may be a clean meat product.,,Cultivated Meat Library,,,2022,2/24/22,WIPO,2022038241:A1,8/19/21,World Patent,World Intellectual Property Organization,PC:T/EP2021/073079,2022-08-26,2023-02-02
