Name,Authors,Full journal,Title,URLs,Item type,Sub-type,Topic area,Molecules,Keywords (GFI),Technology sector,Common Name,Abstract,Keywords,Resource,Creative Commons License,Cell Lines (developed or characterized),Cell Lines (used),Species,Notes (public),Publication year,Volume,Issue,Pages,Journal,Publisher,Date published,Conference date,ISSN,ISSN (alt.),DOI,PMID,PMC ID,Copyright,Affiliation,Language,Editors,Institution,Edition,Book title,ISBN,ISBN (alt.),Series,Proceedings title,Eprint ID,Source,Created,Last Modified
Kuo_2020,"Kuo HH,Gao X,DeKeyser JM,Fetterman KA,Pinheiro EA,Weddle CJ,Fonoudi H,Orman MV,Romero-Tejeda M,Jouni M,Blancard M,Magdy T,Epting CL,George Jr AL,Burridge PW",Stem cell reports,Negligible-Cost and Weekend-Free Chemically Defined Human iPSC Culture,http://dx.doi.org/10.1016/j.stemcr.2019.12.007; https://www.ncbi.nlm.nih.gov/pubmed/31928950; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013200; https://linkinghub.elsevier.com/retrieve/pii/S2213-6711(19)30446-1; https://pubmed.ncbi.nlm.nih.gov/31928950/,Journal Article,Research Article,,"Insulin,Iron & associated proteins,FGF,TGFbeta",Cell culture,Cell culture media,,"Human induced pluripotent stem cell (hiPSC) culture has become routine, yet the cost of pluripotent cell media, frequent medium changes, and the reproducibility of differentiation have remained restrictive. Here, we describe the formulation of a hiPSC culture medium (B8) as a result of the exhaustive optimization of medium constituents and concentrations, establishing the necessity and relative contributions of each component to the pluripotent state and cell proliferation. The reagents in B8 represent only 3% of the costs of commercial media, made possible primarily by the in-lab generation of three E. coli-expressed, codon-optimized recombinant proteins: fibroblast growth factor 2, transforming growth factor β3, and neuregulin 1. We demonstrate the derivation and culture of 34 hiPSC lines in B8 as well as the maintenance of pluripotency long term (over 100 passages). This formula also allows a weekend-free feeding schedule without sacrificing capacity for differentiation.",FGF2; chemically defined; culture media; differentiation; human induced pluripotent stem cell; pluripotent state; weekend-free,"Cultivated Meat Library,Deep dive: Cultivated seafood cell culture media",,,,,"Initial report of the B8 media formulation, an optimized and cost-reduced variation on the commonly-used E8 formulation (see Chen_2011)",2020,14,2,256-270,Stem Cell Reports,,2020-02-11,,2213-6711,,10.1016/j.stemcr.2019.12.007,31928950,PMC7013200,,"Department of Pharmacology, Northwestern University Feinberg School of Medicine, Chicago, IL, USA; Center for Pharmacogenomics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA. Departments of Pediatrics and Pathology, Northwestern University Feinberg School of Medicine, Chicago, IL, USA. Department of Pharmacology, Northwestern University Feinberg School of Medicine, Chicago, IL, USA; Center for Pharmacogenomics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA. Electronic address: paul.burridge@northwestern.edu.",en,,,,,,,,,,,2021-03-04,2021-07-30
Mancini_2020,"Mancini MC,Antonioli F",Animals,To what Extent are Consumers’ Perception and Acceptance of Alternative Meat Production Systems Affected by Information? The Case of Cultured Meat,https://www.mdpi.com/2076-2615/10/4/656; http://dx.doi.org/10.3390/ani10040656,Journal Article,Research Article,"Cultivated,Meat",,Consumer preferences,,,"The global meat production system is currently under pressure, particularly for its environmental and animal wellbeing impacts, as well as for the increasing protein demand worldwide. In this regard, cultured meat is currently a hot topic in the industrial, political, and societal arenas, revealing itself as the potential relief for the issues above. However, its high degree of novelty may hamper the extent of consumers’ acceptance. This research assesses for which beliefs concerning intrinsic attributes and positive externalities, the provision of information is a sufficient tool for affecting the perception and acceptance of cultured meat on a panel of Italian consumers. Changes in perception and willingness to try, buy, and pay are assessed by measuring the variation before and after the provision of positive information related to the product. The results show that perception is affected by positive information concerning safety and nutritional characteristics, whereas the opposite occurs regarding the product flavor. Furthermore, findings reveal that, while the willingness to buy increases after providing positive information, the willingness to try does not. Finally, information on intrinsic attributes and positive externalities of the cultured meat would have to be combined with different approaches for further enhancement of consumers’ perception and acceptance.",,Cultivated Meat Library,,,,,,2020,10,4,656,Animals,Multidisciplinary Digital Publishing Institute,2020-04-10,,,,10.3390/ani10040656,,,,"Dipartimento di Scienze Economiche e Aziendali, Università degli Studi di Parma, Parma, 43125, Italy",en,,,,,,,,,,,2021-07-23,2022-04-14
Melzener_2020,"Melzener L,Verzijden KE,Buijs AJ,Post MJ,Flack JE",Journal of the science of food and agriculture,Cultured Beef: from small biopsy to substantial quantity,http://dx.doi.org/10.1002/jsfa.10663; https://www.ncbi.nlm.nih.gov/pubmed/32662148; https://doi.org/10.1002/jsfa.10663; https://onlinelibrary.wiley.com/doi/abs/10.1002/jsfa.10663; https://onlinelibrary.wiley.com/doi/pdf/10.1002/jsfa.10663; https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjsfa.10663,Journal Article,Review,"Cultivated,Meat",,Regulatory and legal,Cell line development,Cow,"Cultured meat is an emerging technology with the potential to solve huge challenges related to the environmental, ethical and health implications of conventional meat production. Whilst establishing the basic science of cultured meat has been the primary focus of the last decade, it is now feasible that cultured meat products will enter the market within the next three to four years. This proximity to market introduction demands an evaluation of aspects of the cultured meat production process that have not yet been outlined or discussed in significant detail. For example, one technological approach for production of cultured meat utilizes adult muscle stem cells, the limited proliferative capacity of which necessitates repeated collection of tissue samples via biopsies of living donor animals. A key bottleneck in the cultured meat production process; the selection of donor animals and the details of biopsy processes themselves must be optimized. The number of stem cells harvested from a biopsy, together with their proliferative capacity, determine a 'multiplicity factor' achieved by a cultured meat production process, thus dictating the reduction in number of animals required to produce a given quantity of meat. This Perspective considers potential scenarios for these critical upstream steps, focusing on the production of cultured beef as an example. Considerations related to donor selection and details of the biopsy process are discussed in detail. Practicalities of various scenarios for cultured beef production, health of donor animals, and regulatory issues associated with the safety of cultured meat for consumers are also considered. This article is protected by copyright. All rights reserved.",biopsy; cultured beef; cultured meat; donor cattle; regulatory; stem cell isolation,Cultivated Meat Library,,,,Bos taurus,,2020,,,,J. Sci. Food Agric.,,2020-07-13,,0022-5142,1097-0010,10.1002/jsfa.10663,32662148,,,"Mosa Meat B.V. Maastricht, Netherlands. Department of Physiology, Maastricht University, Maastricht, Netherlands. Axon Lawyers, Amsterdam, Netherlands.",en,,,,,,,,,,,2021-07-23,2022-08-26
Miller_2020,Miller RK,Animal Frontiers,A 2020 synopsis of the cell-cultured animal industry,https://academic.oup.com/af/article-pdf/10/4/64/34058114/vfaa031.pdf; http://dx.doi.org/10.1093/af/vfaa031; https://academic.oup.com/af/article/10/4/64/5943512,Journal Article,Review,"Cultivated,Meat",,,,,"Commercialization of cell-cultured meat products, is it fact or fiction? Will the cell-culture industry provide sufficient product to help feed the projected po",,Cultivated Meat Library,,,,,,2020,10,4,64-72,Anim Fron,Oxford Academic,2020-10-30,,2160-6056,,10.1093/af/vfaa031,,,,,,,,,,,,,,,,2021-07-23,2021-11-10
Miramontes_2020,"Miramontes E,Kempisty B,Petitte J,Dasarathy S,Kulus M,Wieczorkiewicz M,Mozdziak P",Genes,"Myogenic Response to Increasing Concentrations of Ammonia Differs between Mammalian, Avian, and Fish Species: Cell Differentiation and Genetic Study",https://www.mdpi.com/2073-4425/11/8/840; http://dx.doi.org/10.3390/genes11080840,Journal Article,Research Article,,Myostatin,Cell culture,Cell line development,"Nile Tilapia, Chicken","Ammonia is very toxic to the body and has detrimental effects on many different organ systems. Using cultured myoblast cells, we examined ammonia’s effect on myostatin expression, a negative regulator of skeletal muscle growth, and myotube diameters. The objective of this study was to examine how murine, avian, and fish cells respond to increasing levels of ammonia up to 50 mM. The murine myoblast cell line (C2C12), primary chick, and primary tilapia myoblast cells were cultured and then exposed to 10, 25, and 50 mM ammonium acetate, sodium acetate, and an untreated control for 24 h. High levels of ammonia were detrimental to the C2C12 cells, causing increased Myostatin (MSTN) expression and decreased myotube diameters between 10 and 25 mM (p < 0.002). Ammonia at 10 mM continued the positive myogenic response in the chick, with lower MSTN expression than the C2C12 cells and larger myotube diameters, but the myotube diameter at 50 mM ammonium acetate was significantly smaller than those at 10 and 25 mM (p < 0.001). However, chick myotubes at 50 mM were still significantly larger than the sodium acetate-treated and untreated control (p < 0.001). The tilapia cells showed no significant difference in MSTN expression or myotube diameter in response to increasing the concentrations of ammonia. Overall, these results confirm that increasing concentrations of ammonia are detrimental to mammalian skeletal muscle, while chick cells responded positively at lower levels but began to exhibit a negative response at higher levels, as the tilapia experienced no detrimental effects. The differences in ammonia metabolism strategies between fish, avian, and mammalian species could potentially contribute to the differences between species in response to high levels of ammonia. Understanding how ammonia affects skeletal muscle is important for the treatment of muscle wasting observed in liver failure patients.",,"Cultivated Meat Library,PISCES/ATLAS,Fish-entials",CC BY,,,"Oreochromis niloticus,Gallus gallus",,2020,11,8,840,Genes ,Multidisciplinary Digital Publishing Institute,2020-07-24,,,,10.3390/genes11080840,,,,,en,,,,,,,,,,,2021-07-23,2023-02-02
Moskowitz_2020,"Moskowitz H,Gere A,Roberts D,Nagarajan D,Harizi A",Edelweiss Journal of Food Science and Technology,Cultured Meat: A Mind Genomics Cartography of a Technology in its Infancy,https://www.researchgate.net/publication/346877808_Cultured_Meat_A_Mind_Genomics_Cartography_of_a_Technology_in_its_Infancy,Journal Article,Research Article,"Cultivated,Meat",,Consumer preferences,,,,,Cultivated Meat Library,,,,,,2020,,,,,,2020-10,,,,,,,,,,,,,,,,,,,,2021-07-23,2021-11-10
O'Neill_2020,"O'Neill EN,Cosenza ZA,Baar K,Block DE",Comprehensive Reviews in Food Science and Food Safety,Considerations for the development of cost‐effective cell culture media for cultivated meat production,"https://onlinelibrary.wiley.com/doi/10.1111/1541-4337.12678; https://onlinelibrary.wiley.com/doi/pdf/10.1111/1541-4337.12678; https://onlinelibrary.wiley.com/doi/full-xml/10.1111/1541-4337.12678; http://dx.doi.org/10.1111/1541-4337.12678
https://zenodo.org/record/7754223",Journal Article,Review,"Cultivated,Meat",,,Cell culture media,,"Innovation in cultivated meat development has been rapidly accelerating in recent years because it holds the potential to help attenuate issues facing production of dietary protein for a growing world population. There are technical obstacles still hindering large-scale commercialization of cultivated meat, of which many are related to the media that are used to culture the muscle, fat, and connective tissue cells. While animal cell culture media has been used and refined for roughly a century, it has not been specifically designed with the requirements of cultivated meat in mind. Perhaps the most common industrial use of animal cell culture is currently the production of therapeutic monoclonal antibodies, which sell for orders of magnitude more than meat. Successful production of cultivated meat requires media that is food grade with minimal cost, can regulate large-scale cell proliferation and differentiation, has acceptable sensory qualities, and is animal ingredient-free. Much insight into strategies for achieving media formulations with these qualities can be obtained from knowledge of conventional culture media applications and from the metabolic pathways involved in myogenesis and protein synthesis. In addition, application of principles used to optimize media for large-scale microbial fermentation processes producing lower value commodity chemicals and food ingredients can also be instructive. As such, the present review shall provide an overview of the current understanding of cell culture media as it relates to cultivated meat.",,"Cultivated Meat Library,Cultivated Meat 101",Not CC-licensed,,,,"If you're having trouble accessing this article, you can find it on the New Harvest OpenCellAg Repository (Zenodo link in URLs field).
",2020,3,,1,Compr. Rev. Food Sci. Food Saf.,,2020-12-05,,1541-4337,,10.1111/1541-4337.12678,,,,,,,,,,,,,,,,2021-07-23,2023-04-26
Ong_2020,"Ong S,Choudhury D,Naing MW",Trends in Food Science & Technology,Cell-based meat: Current ambiguities with nomenclature,http://www.sciencedirect.com/science/article/pii/S0924224419308131; http://dx.doi.org/10.1016/j.tifs.2020.02.010; https://www.sciencedirect.com/science/article/abs/pii/S0924224419308131,Journal Article,Review,"Cultivated,Meat",,"Consumer preferences,Regulatory and legal",,,"Cell-based meats have arose substantial interest due to the promotion of these products as cleaner and sustainable alternatives to conventional meats. We identify the most notable ambiguities surrounding the nomenclature of cell-based meats and summarize current discussions around it. Notable ambiguities include: whether cell-based meat can be called “meat”; identifying the most descriptive and appealing name for cell-based meat; the nomenclature of cell-based meat products with different levels of complexity; and the standards cell-based meats need to meet before claiming to be cleaner and more sustainable than conventional meat. The need to clarify ambiguities is crucial to facilitate discussions, enhance investor interests, build consumer confidence and prevent any future strife with traditional farming.",Cell-based meat; Cultured meat; Cellular agriculture; Cultivated meat; Meat; Food labelling,"Cultivated Meat Library,Deep dive: Cultivated meat end products",,,,,,2020,102,,223-231,Trends Food Sci. Technol.,,2020-02-20,,0924-2244,,10.1016/j.tifs.2020.02.010,,,,,,,,,,,,,,,,2021-07-23,2023-01-30
Orellana_2020,"Orellana N,Sánchez E,Benavente D,Prieto P,Enrione J,Acevedo CA",Foods,A New Edible Film to Produce In Vitro Meat,https://www.mdpi.com/2304-8158/9/2/185; http://dx.doi.org/10.3390/foods9020185,Journal Article,Research Article,"Cultivated,Meat","Agar/agarose,Alginate,Gelatin",Satellite cell or myoblast,Scaffolding,,"In vitro meat is a novel concept of food science and biotechnology. Methods to produce in vitro meat employ muscle cells cultivated on a scaffold in a serum-free medium using a bioreactor. The microstructure of the scaffold is a key factor, because muscle cells must be oriented to generate parallel alignments of fibers. This work aimed to develop a new scaffold (microstructured film) to grow muscle fibers. The microstructured edible films were made using micromolding technology. A micromold was tailor-made using a laser cutting machine to obtain parallel fibers with a diameter in the range of 70–90 µm. Edible films were made by means of solvent casting using non-mammalian biopolymers. Myoblasts were cultured on flat and microstructured films at three cell densities. Cells on the microstructured films grew with a muscle fiber morphology, but in the case of using the flat film, they only produced unorganized cell proliferation. Myogenic markers were assessed using quantitative polymerase chain reaction. After 14 days, the expression of desmin, myogenin, and myosin heavy chain were significantly higher in microstructured films compared to the flat films. The formation of fiber morphology and the high expression of myogenic markers indicated that a microstructured edible film can be used for the production of in vitro meat.",,"Cultivated Meat Library,Deep dive: Cultivated meat scaffolding part A,Deep dive: Cultivated meat scaffolding part B",,,,,,2020,9,2,185,Foods,Multidisciplinary Digital Publishing Institute,2020-02-13,,,,10.3390/foods9020185,,,,,en,,,,,,,,,,,2021-07-23,2023-02-10
Painter_2020,"Painter J,Brennen JS,Kristiansen S",Climatic change,"The coverage of cultured meat in the US and UK traditional media, 2013–2019: drivers, sources, and competing narratives",https://doi.org/10.1007/s10584-020-02813-3; http://dx.doi.org/10.1007/s10584-020-02813-3; https://link.springer.com/epdf/10.1007/s10584-020-02813-3?sharing_token=fmNWPnfdhz6lBRK6uvozD_e4RwlQNchNByi7wbcMAY7sYS8dTmN3wUrkaIe1yWNRRUvkN3aDHACIk_lBOUX0wYYC3Fx7ji5ot55ltr5cIesarU4hy5uElHe2GyYFo4I94XSkU-vJpwCjMiepSuISgLrJYIZMLP0EZ6nKgkdFpHU%3D,Journal Article,Research Article,"Cultivated,Meat",,Consumer preferences,,,"‘Cultured’ meat has attracted a considerable amount of investor and media interest as an early-stage technology. Despite uncertainties about its future impact, news media may be contributing to promissory discourses, by stressing the potential benefits from cultured meat to the environment, health, animal welfare, and feeding a growing population. The results from a content analysis of 255 articles from 12 US and UK traditional media from 2013 to 2019 show that much of the coverage is prompted by the industry sector, whose representatives are also the most quoted. Positive narratives about cultured meat are much more prominent than cautionary ones. Our findings support previous scholarship on other emerging technologies which concluded that with important variations, media treatments are largely positive.",,Cultivated Meat Library,,,,,,2020,,,,Clim. Change,,2020-09-02,,0165-0009,1573-1480,10.1007/s10584-020-02813-3,,,,"Reuters Institute for the Study of Journalism, University of Oxford, 13 Norham Gardens, Oxford, OX2 6PS, United Kingdom; Reuters Institute for the Study of Journalism and Oxford Internet Institute, University of Oxford, 13 Norham Gardens, Oxford, OX2 6PS, United Kingdom; College of Environmental Science and Forestry, State University of New York, 112 Marshall Hall, 1 Forestry Drive, Syracuse, NY  13210, United States",,,,,,,,,,,,2021-07-23,2022-04-14
Post_2020,"Post MJ,Levenberg S,Kaplan DL,Genovese N,Fu J,Bryant CJ,Negowetti N,Verzijden K,Moutsatsou P",Nature Food,"Scientific, sustainability and regulatory challenges of cultured meat","https://www.nature.com/articles/s43016-020-0112-z; https://www.nature.com/articles/s43016-020-0112-z.pdf; http://dx.doi.org/10.1038/s43016-020-0112-z
https://zenodo.org/record/7682919",Journal Article,Review,"Cultivated,Meat",,"Regulatory and legal,Consumer preferences",,,"Cellular agriculture is an emerging branch of biotechnology that aims to address issues associated with the environmental impact, animal welfare and sustainability challenges of conventional animal farming for meat production. Cultured meat can be produced by applying current cell culture practices and biomanufacturing methods and utilizing mammalian cell lines and cell and gene therapy products to generate tissue or nutritional proteins for human consumption. However, significant improvements and modifications are needed for the process to be cost efficient and robust enough to be brought to production at scale for food supply. Here, we review the scientific and social challenges in transforming cultured meat into a viable commercial option, covering aspects from cell selection and medium optimization to biomaterials, tissue engineering, regulation and consumer acceptance. Producing meat without the drawbacks of conventional animal agriculture would greatly contribute to future food and nutrition security. This Review Article covers biological, technological, regulatory and consumer acceptance challenges in this developing field of biotechnology.",,"Cultivated Meat Library,Cultivated Meat 101,GFI-funded Research,Deep dive: Cultivated meat end products",Not CC-licensed,,,,"If you're having trouble accessing this article, you can find it on the New Harvest OpenCellAg Repository (Zenodo link in URLs field).",2020,1,7,403-415,Nature Food,Nature Publishing Group,2020-07-16,,2662-1355,2662-1355,10.1038/s43016-020-0112-z,,,,,en,,,,,,,,,,,2021-07-23,2023-04-26
Potter_2020,"Potter G,Smith AS,Vo NT,Muster J,Weston W,Bertero A,Maves L,Mack DL,Rostain A",One Earth,A More Open Approach Is Needed to Develop Cell-Based Fish Technology: It Starts with Zebrafish,http://www.cell.com/article/S2590332220302943/abstract; http://www.cell.com/article/S2590332220302943/fulltext; http://www.cell.com/article/S2590332220302943/pdf; https://www.cell.com/one-earth/abstract/S2590-3322(20)30294-3; http://dx.doi.org/10.1016/j.oneear.2020.06.005; https://www.cell.com/one-earth/fulltext/S2590-3322(20)30294-3,Journal Article,Review,"Cultivated,Seafood",,,,Zebrafish,"The global demand for fish is rising and projected to increase for years to come. However, there is uncertainty whether this increased demand can be met by the conventional approaches of capture fisheries and fish farming because of wild stock depletion, natural resource requirements, and environmental impact concerns. One proposed complementary solution is to manufacture the same meat directly from fish cells, as cell-based fish. More than 30 ventures are competing to commercialize cell-based meat broadly, but the field lacks a foundation of shared scientific knowledge, which threatens to delay progress. Here, we recommend taking a research-focused, more open and collaborative approach to cell-based fish meat development that targets lean fish and an unlikely but very attractive candidate for accelerating research and development, the zebrafish. Although substantial work lies ahead, cell-based meat technology could prove to be a more efficient, less resource-intensive method of producing lean fish meat.",cell-based meat; cellular agriculture; sustainability; protein; zebrafish; animal protein; ocean health; lean fish; protein retention; cultivated meat,"PISCES/ATLAS,Fish-entials,Cultivated Meat Library",CC BY,,,Danio rerio,,2020,3,1,54-64,One Earth,Elsevier,2020-07-24,,2590-3330,2590-3322,10.1016/j.oneear.2020.06.005,,,,,en,,,,,,,,,,,2021-03-04,2023-02-02
Reis_2020a,"Reis GG,Heidemann MS,Borini FM,Maiolino Molento CF",Technology in society,Livestock value chain in transition: Cultivated (cell-based) meat and the need for breakthrough capabilities,http://www.sciencedirect.com/science/article/pii/S0160791X19307183; http://dx.doi.org/10.1016/j.techsoc.2020.101286; https://www.sciencedirect.com/science/article/abs/pii/S0160791X19307183,Journal Article,Review,"Cultivated,Meat",,Socioeconomics,,,"Alternative protein sources such as cell-based meat are potentially associated with improvements in important issues related to intensive industrial livestock production: animal welfare, environmental impact, food safety and the low efficiency of conventional meat production. However, little is known about the potential implications of the new cultivated meat technology for emerging countries. Thus, drawing on the Global Value Chain literature and on the blossoming literature on cell-based meat, we have first discussed how this new chain may be structured. Then, based on the analysis of a set of companies that operate in the fast-developing cultivated meat industry, core enabling capabilities that are required in order to enter the new meat value chain were identified; they encompass technological, business structuring, market positioning and relationship with stakeholder capabilities. It is likely that all listed capabilities are relevant for any country to access the livestock chain in transition. We propose reflections that may contribute to decisions which, in turn, may define aspects of the cultivated meat chain, for the sake of relieving animal suffering and taking care of our home planet, while providing all humans with quality food that meet their nutritional requirements and consumption desires.",Clean meat; Slaughter-free meat; Global value chain; Environment; Animal welfare,Cultivated Meat Library,,,,,,2020,,,101286,Technol. Soc.,,2020-06-12,,0160-791X,,10.1016/j.techsoc.2020.101286,,,,,,,,,,,,,,,,2021-07-23,2021-11-12
Risner_2020,"Risner D,Li F,Fell JS,Pace SA,Siegel JB,Tagkopoulos I,Spang ES",Foods,Preliminary Techno-Economic Assessment of Animal Cell-Based Meat,"http://dx.doi.org/10.3390/foods10010003; https://www.biorxiv.org/content/10.1101/2020.09.10.292144v1; http://dx.doi.org/10.1101/2020.09.10.292144
",Journal Article,Research Article,"Cultivated,Meat",,Modeling,,,"Interest in animal cell-based meat (ACBM) or laboratory-grown meat has been increasing; however, the economic viability of these potential products has not been thoroughly vetted. Recent studies suggest monoclonal antibody production technology can be adapted for the industrialization of ACBM production. This study provides a scenario-based assessment of the projected cost per kilogram of ACBM produced in the United States based on cellular metabolic requirements and process/chemical engineering conventions. A sensitivity analysis of the model identified the nine most influential cost factors for ACBM production out of 67 initial parameters. The results indicate that technological performance will need to approach technical limits for ACBM to achieve profitably as a commodity. However, the model also suggests that low-volume high-value specialty products could be viable based on current technology.",,Cultivated Meat Library,,,,,,2020,,,,,,2020-12-22,,,,10.3390/foods10010003,,,,,,,,,,,,,,,,2021-07-23,2021-11-10
Risner_2020_supplementary,"Risner D,Li F,Fell J,Pace S,Siegel J,Tagkopoulos I",Foods,Supplementary material for Techno-economic assessment of animal cell-based meat,https://github.com/IBPA/IBPA-Collection-of-Reproducible-Code-and-Results/tree/master/2020_Artificial_Meat,Journal Article,Supplementary material,"Cultivated,Meat",,Modeling,,,,,Cultivated Meat Library,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-23,2021-12-03
Rolland_2020,"Rolland NCM,Markus CR,Post MJ",PloS one,The effect of information content on acceptance of cultured meat in a tasting context,http://dx.doi.org/10.1371/journal.pone.0231176; https://www.ncbi.nlm.nih.gov/pubmed/32298291; https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0231176&type=printable; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231176,Journal Article,Research Article,"Cultivated,Meat",,Consumer preferences,,Cow,"Cultured meat, in particular beef, is an emerging food technology potentially challenged by issues of consumer acceptance. To understand drivers of consumer acceptance as well as sensory perception of cultured meat, we investigated the effect of information content on participants' acceptance of cultured meat in a tasting context. Hundred ninety-three citizens from the Netherlands participated, divided across three age and sex-matched groups which each received information on either societal benefits, personal benefits or information on the quality and taste of cultured meat. They filled out a questionnaire and tasted two pieces of hamburger, labeled 'conventional' or 'cultured', although both pieces were in fact conventional. Sensory analysis of both hamburgers was performed. We observed that provision of information and the tasting experience increased acceptance of cultured meat and that information on personal benefits of cultured meat increased acceptance more than information on quality and taste but not than societal benefits of cultured meat. Previous awareness of cultured meat was the best predictor of its acceptance. In contrast to previous studies, sex and social economic status were not associated with different acceptance rates. Surprisingly, 58% of the respondents were willing to pay a premium for cultured meat of, on average, 37% above the price of regular meat. All participants tasted the 'cultured' hamburger and evaluated its taste to be better than the conventional one in spite of the absence of an objective difference. This is the first acceptance study of cultured meat where participants were offered to eat and evaluate meat that was labeled 'cultured'. We conclude that having positive information importantly improves acceptance and willingness to taste and that the specific content of the information is of subordinate importance. Awareness of cultured meat is the best predictor of acceptance.",,Cultivated Meat Library,,,,Bos taurus,,2020,15,4,e0231176,PLoS One,,2020-04-16,,1932-6203,,10.1371/journal.pone.0231176,32298291,,,"Department of Physiology, Maastricht University, Maastricht, The Netherlands. Department of Nutrition and Food Science, AgriSup, Université Bourgogne Franche-Comté, Dijon, France. Department of Psychology, Maastricht University, Maastricht, The Netherlands. Mosa Meat, B.V., Maastricht, The Netherlands.",en,,,,,,,,,,,2021-07-23,2022-08-26
Santo_2020,"Santo RE,Kim BF,Goldman SE,Dutkiewicz J,Biehl EM,Bloem MW,Neff RA,Nachman KE",Frontiers in Sustainable Food Systems,Considering Plant-Based Meat Substitutes and Cell-Based Meats: A Public Health and Food Systems Perspective,https://www.frontiersin.org/article/10.3389/fsufs.2020.00134; http://dx.doi.org/10.3389/fsufs.2020.00134; https://www.frontiersin.org/articles/10.3389/fsufs.2020.00134/full,Journal Article,Review,"Cultivated,Plant-based,Meat",,"Environmental impacts (alternative protein),Regulatory and legal,Socioeconomics",,,"Over the past decade, there has been growing interest in the development and production of plant-based and cell-based alternatives to farmed meat. Although promoted for their capacity to avoid or reduce the environmental, animal welfare, and, in some cases, public health problems associated with farmed meat production and consumption, little research has critically evaluated the broader potential public health and food systems implications associated with meat alternatives. This review explores key public health, environmental, animal welfare, economic, and policy implications related to the production and consumption of plant-based meat substitutes and cell-based meats, and how they compare to those associated with farmed meat production. Based on the limited evidence to date, it is unknown whether replacing farmed meats with plant-based substitutes would offer comparable nutritional or chronic disease reduction benefits as replacing meats with whole legumes. Production of plant-based substitutes, however, may involve smaller environmental impacts compared to the production of farmed meats, though the relative impacts differ significantly depending on the type of products under comparison. Research to date suggests that many of the purported environmental and health benefits of cell-based meat are largely speculative. Demand for both plant-based substitutes and cell-based meats may significantly reduce dependence on livestock to be raised and slaughtered for meat production, although cell-based meats will require further technological developments to completely remove animal-based inputs. The broader socioeconomic and political implications of replacing farmed meat with meat alternatives merit further research. An additional factor to consider is that much of the existing research on plant-based substitutes and cell-based meats has been funded or commissioned by companies developing these products, or by other organizations promoting these products. This review has revealed a number of research gaps that merit further exploration, ideally with independently funded peer-reviewed studies, to further inform the conversation around the development and commercialization of plant-based substitutes and cell-based meats.",,Cultivated Meat Library,,,,,,2020,4,,134,Frontiers in Sustainable Food Systems,,2020,,2571-581X,,10.3389/fsufs.2020.00134,,,,,,,,,,,,,,,,2021-07-23,2021-11-10
Siegrist_2020,"Siegrist M,Hartmann C",Appetite,"Perceived naturalness, disgust, trust and food neophobia as predictors of cultured meat acceptance in ten countries",http://www.sciencedirect.com/science/article/pii/S0195666320301045; http://dx.doi.org/10.1016/j.appet.2020.104814; https://www.sciencedirect.com/science/article/pii/S0195666320301045,Journal Article,Research Article,"Cultivated,Meat",,Consumer preferences,,,"Cultured meat is a novel food technology that promises to produce meat in a more environmentally friendly and animal-friendly way. We conducted an internet survey in ten countries (Australia, China, England, France, Germany, Mexico, South Africa, Spain, Sweden and the US) with a total sample of 6128 participants. Results suggest that there are large cultural differences regarding the acceptance of cultured meat. French consumers were significantly less accepting of the idea than consumers in all other countries. Perceived naturalness of and disgust evoked by cultured meat were important factors in the acceptance of this novel food technology in all countries. Trust in the food industry, food neophobia and food disgust sensitivity indirectly and directly influenced the acceptance of cultured meat in almost all countries. In order to increase the acceptance of cultured meat, the similarity of cultured meat to traditional meat needs to be emphasized rather than the rather technical production process, which may evoke associations of unnaturalness and disgust.",Cultured meat; In-vitro meat; Naturalness; disgust; New food technologies; Cross-cultural research,Cultivated Meat Library,,,,,,2020,,,104814,Appetite,,2020-08-09,,0195-6663,,10.1016/j.appet.2020.104814,,,,"ETH Zurich, Institute for Environmental Decisions (IED), Consumer Behavior, Universitätstrasse 22, Zurich, 8092, Switzerland; ETH Zurich, Switzerland",,,,,,,,,,,,2021-07-23,2022-04-14
Stephens_2020,"Stephens N,Ellis M",Wellcome Open Research,Cellular agriculture in the UK: a review,https://wellcomeopenresearch.org/articles/5-12/v1; https://wellcomeopenresearch.org/articles/5-12/v1/iparadigms; https://wellcomeopenresearch.org/articles/5-12/v1/xml; https://wellcomeopenresearch.org/articles/5-12/v1/pdf; http://dx.doi.org/10.12688/wellcomeopenres.15685.1; https://wellcomeopenresearch.org/articles/5-12,Journal Article,Review,"Cultivated,Meat",,,,,,,Cultivated Meat Library,,,,,,2020,5,,12,Wellcome Open Res,,2020-01-24,,2398-502X,,10.12688/wellcomeopenres.15685.1,,,,,,,,,,,,,,,,2021-07-23,2021-11-10
